Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,12_L,50,1000.4387,594.4846,1000.4003,594.49207,0.038391113,-0.007446289,0.0391065825632473
Camera L,12_L,51,1026.8937,628.37933,1026.9122,628.4277,-0.018554688,-0.048339844,0.05177853727170236
Camera L,12_L,52,1053.9784,663.0777,1053.9349,663.10443,0.04345703,-0.026733398,0.05102144801043581
Camera L,12_L,53,1081.7292,698.62634,1081.7242,698.6436,0.005004883,-0.01727295,0.017983426444378562
Camera L,4_L,0,1668.2345,204.42706,1668.2224,204.46388,0.012084961,-0.036819458,0.038752016319799014
Camera L,4_L,1,1676.9148,236.66495,1676.9977,236.68564,-0.08288574,-0.020690918,0.08542927100451143
Camera L,4_L,2,1685.788,269.66858,1685.7546,269.61484,0.033325195,0.053741455,0.0632353748825007
Camera L,4_L,3,1694.8627,303.4629,1694.9026,303.48642,-0.039916992,-0.023529053,0.046335543461514896
Camera L,4_L,4,1704.147,338.0747,1704.1283,338.07053,0.018676758,0.004180908,0.01913899881889692
Camera L,4_L,5,1713.6484,373.53247,1713.6602,373.57007,-0.01171875,-0.037597656,0.03938163095982268
Camera L,4_L,6,1723.3734,409.86633,1723.3325,409.8494,0.040893555,0.016937256,0.04426232541366852
Camera L,4_L,7,1733.3265,447.10776,1733.3999,447.15698,-0.07336426,-0.049224854,0.08834817784206818
Camera L,4_L,8,1743.5101,485.28925,1743.4957,485.29706,0.014404297,-0.0078125,0.016386547064990074
Camera L,4_L,9,1629.3003,204.37878,1629.3098,204.41005,-0.009521484,-0.03126526,0.03268294772278686
Camera L,4_L,10,1637.502,236.63551,1637.5417,236.61621,-0.039794922,0.019302368,0.04422914450651705
Camera L,4_L,11,1645.8922,269.6533,1645.8684,269.65768,0.023803711,-0.0043945312,0.024205961234854603
Camera L,4_L,12,1654.4807,303.45758,1654.4476,303.45123,0.033081055,0.0063476562,0.033684550154418416
Camera L,4_L,13,1663.2766,338.0758,1663.3022,338.10052,-0.025634766,-0.024719238,0.035611542368365584
Camera L,4_L,14,1672.2888,373.53745,1672.2659,373.5283,0.022949219,0.009155273,0.024708008275673387
Camera L,4_L,15,1681.5253,409.87387,1681.5564,409.87558,-0.03112793,-0.0017089844,0.031174807685436297
Camera L,4_L,16,1690.9927,447.11816,1690.9955,447.0898,-0.0028076172,0.02835083,0.028489511761177352
Camera L,4_L,17,1700.696,485.30493,1700.6505,485.34235,0.045532227,-0.03741455,0.05893243814658923
Camera L,4_L,18,1590.1744,204.42296,1590.197,204.4925,-0.022583008,-0.0695343,0.07310958461656011
Camera L,4_L,19,1597.8914,236.69313,1597.8871,236.6545,0.004272461,0.038635254,0.03887077008322409
Camera L,4_L,20,1605.791,269.7191,1605.7916,269.6579,-0.00061035156,0.061187744,0.061190788212348066
Camera L,4_L,21,1613.8837,303.52667,1613.8185,303.4929,0.06518555,0.03378296,0.07341964205260597
Camera L,4_L,22,1622.1794,338.14383,1622.2402,338.13718,-0.060791016,0.006652832,0.06115396761253533
Camera L,4_L,23,1630.6881,373.60086,1630.598,373.5576,0.09008789,0.043273926,0.09994228679484524
Camera L,4_L,24,1639.4188,409.9302,1639.3903,409.8061,0.028564453,0.12411499,0.1273595649459016
Camera L,4_L,25,1648.3799,447.16638,1648.4348,447.2038,-0.05493164,-0.03741455,0.06646302544962038
Camera L,4_L,26,1657.5785,485.34573,1657.5616,485.35126,0.016845703,-0.0055236816,0.017728191465646248
Camera L,4_L,27,1550.9132,204.54588,1550.8542,204.55594,0.05895996,-0.010055542,0.05981129423869853
Camera L,4_L,28,1558.1423,236.8248,1558.1202,236.8058,0.022094727,0.018997192,0.029138810207371753
Camera L,4_L,29,1565.5471,269.85382,1565.5177,269.81744,0.029418945,0.036376953,0.04678415396219443
