Algorithm,Actual distance,Computed distance,Disparity,Computation time,blocksize
BM_PCL_FilteredLeftDispMap,40,52.63692855834961,-,0.520967960357666,5
ObjectDetection,40,-,249.0,1.5739011764526367,11
SGBM_LeftDispMap,40,54.888563513962985,236.25,0.4783658981323242,11
SGBM_PCL_LeftDispMap,40,54.9027214050293,-,0.8169398307800293,11
SGBM_FilteredLeftDispMap,40,49.58230749586713,257.11144256591797,0.9842290878295898,11
SGBM_PCL_FilteredLeftDispMap,40,49.595096588134766,-,1.301767110824585,11
BM_LeftDispMap,40,59.14761154066018,215.75,0.06964921951293945,11
BM_PCL_LeftDispMap,40,59.16286849975586,-,0.43094301223754883,11
BM_FilteredLeftDispMap,40,52.126351595360035,244.35431671142578,0.21477818489074707,11
BM_PCL_FilteredLeftDispMap,40,52.13979721069336,-,0.541572093963623,11
ObjectDetection,40,-,249.0,1.5512042045593262,17
SGBM_LeftDispMap,40,47.234524524382756,269.5625,0.4825930595397949,17
SGBM_PCL_LeftDispMap,40,47.246707916259766,-,0.8125731945037842,17
SGBM_FilteredLeftDispMap,40,48.901437762776254,260.48455810546875,1.05523681640625,17
SGBM_PCL_FilteredLeftDispMap,40,48.914052963256836,-,1.3851368427276611,17
BM_LeftDispMap,40,51.769595595377325,248.0625,0.07058000564575195,17
BM_PCL_LeftDispMap,40,51.782949447631836,-,0.41055893898010254,17
BM_FilteredLeftDispMap,40,51.64367752919939,246.596435546875,0.21909713745117188,17
BM_PCL_FilteredLeftDispMap,40,51.65699768066406,-,0.5291807651519775,17
ObjectDetection,40,-,249.0,1.6266381740570068,21
SGBM_LeftDispMap,40,47.278883620864846,269.3125,0.4527769088745117,21
SGBM_PCL_LeftDispMap,40,47.29107856750488,-,0.8033339977264404,21
SGBM_FilteredLeftDispMap,40,48.81096774487164,260.90147399902344,1.0182440280914307,21
SGBM_PCL_FilteredLeftDispMap,40,48.823556900024414,-,1.3343029022216797,21
BM_LeftDispMap,40,51.00573072603554,251.1875,0.07239580154418945,21
BM_PCL_LeftDispMap,40,51.01888656616211,-,0.4091379642486572,21
BM_FilteredLeftDispMap,40,51.51366845117456,247.2426300048828,0.2146139144897461,21
