Algorithm,Actual distance,Computed distance,Disparity,Computation time,blocksize
ObjectDetection,45,-,222.5,5.683890104293823,5
SGBM_LeftDispMap,45,50.898651181569534,251.25,0.6763761043548584,5
SGBM_PCL_LeftDispMap,45,50.911781311035156,-,1.3794450759887695,5
SGBM_FilteredLeftDispMap,45,51.45600043171524,247.44232177734375,1.688567876815796,5
SGBM_PCL_FilteredLeftDispMap,45,51.46927261352539,-,2.198425054550171,5
BM_LeftDispMap,45,54.51596285733953,237.4375,0.08692383766174316,5
BM_PCL_LeftDispMap,45,54.5300235748291,-,0.8735220432281494,5
BM_FilteredLeftDispMap,45,52.24580480540139,243.7005844116211,0.4610328674316406,5
BM_PCL_FilteredLeftDispMap,45,52.259281158447266,-,0.8975331783294678,5
